728310ce a4f50e79 a53f7758 00000020 00000024 0 0
18fd1a34 d3f4d84e 19984ba9 00000024 00000028 0 1
d3933c27 90644c02 9497db86 00000024 00000028 0 0
604a34c4 f19a66fd 44f3d0c5 00000028 0000002c 0 0
47ad2d33 3d9a522e f0791578 0000002c 00000030 0 1
06230836 c66e9662 4964b824 0000002c 00000030 0 0
55c12d15 c14e023e b219a229 00000030 00000034 0 0
621702f2 90870792 9f5e0bca 00000034 00000038 0 1
75a52e22 0de074ac c801a9f0 00000034 00000038 0 0
38ebda53 d68d4d1b 75179335 00000038 0000003c 0 1
1128455f 995ab822 2124238b 00000038 0000003c 0 0
b5fc484a fe737e92 da4127dd 0000003c 00000040 0 1
d4126050 6a570210 0087b068 0000003c 00000040 0 1
0421156a 0cbf5a25 7bbf77d2 0000003c 00000040 0 0
be4efd77 38f66eb2 b5d30e01 00000040 00000044 0 1
f7a3a7c1 fa907b19 0498e4e6 00000040 00000044 0 0
aee4e440 026e23db 34b35d08 00000044 00000048 0 1
95f22c8a 1d6c0cfa 464b4745 00000044 00000048 0 0
f98dc5a8 06207995 04857297 00000048 0000004c 0 0
4c3d4399 a7210e97 3bd54b19 0000004c 00000050 0 1
2272ac4b a2f7c3d0 5da746d5 0000004c 00000050 0 1
9cda2f3f bbec05df 7ee957c1 0000004c 00000050 0 0
afe1f155 3cf2bcbc 149530d7 00000050 00000054 0 1
1112128a 5e59641d 06841b8b 00000050 00000054 0 1
d4c5c249 50b21176 26345abe 00000050 00000054 0 0
74387014 43647483 045253c4 00000054 00000058 2 1
bfdd16fa 11a0929f 162fb371 00000054 00000058 0 1
3913106b 5d4a0cf7 6d479258 00000054 00000058 0 1
0bb0ba2a 94a8b51b e2db3c2f 00000054 00000058 0 1
977adece 9944c506 2f20f72c 00000054 00000058 0 0
9d09e261 b1a6cc2d 6922a4d5 00000058 0000005c 0 0
4d63daca a3b1341e 44cea958 0000005c 00000060 0 0
11d277e7 58290fc1 27386aba 00000060 00000064 0 1
5ec669fc 95550e5e 800d1194 00000060 00000064 0 1
73e13122 c5517547 935df2f1 00000060 00000064 0 1
81557625 f4c35843 7972bc8b 00000060 00000064 0 1
1761e607 94c746a2 095de0cd 00000060 00000064 0 0
2979d92a ffaf8493 05854b46 00000064 00000068 0 1
d578d3c5 7e200036 11b2cfaf 00000064 00000068 0 1
f9c8f079 1efbe989 fb964d80 00000064 00000068 0 0
dbdf20f8 781692c5 d837dee6 00000068 0000006c 0 1
f8a55288 18c3a23e 578cfe69 00000068 0000006c 0 1
3b114ede 53b9cf24 fb998cec 00000068 0000006c 0 1
4b36336c f9abbe53 d2d10be3 00000068 0000006c 0 1
0b4174d4 ad66ae2c 1f790d48 00000068 0000006c 0 1
