1 216
1 1920
0 6304 0
0 6312 1
0 6508 0
1 6512
0 6316 0
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
0 6352 1
