1 216
1 544
0 1900 0
0 1908 1
0 2104 0
1 2108
0 1912 0
0 1948 1
0 1948 1
0 1948 1
0 1948 1
0 1948 1
0 1948 1
0 1948 0
0 1952 1
1 556
1 1640
1 13468
0 13484 1
1 13632
0 13500 0
0 13508 0
1 13528
1 560
0 1780 1
0 1836 0
0 504 1
0 1864 1
0 752 1
1 792
0 644 1
0 1864 0
1 576
1 304
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 0
0 316 1
1 304
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 0
0 316 1
1 304
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 0
0 316 1
1 304
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 0
0 316 1
1 304
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 0
0 316 1
1 304
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 0
0 316 1
1 304
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 0
0 316 1
1 304
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 0
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
0 1472 1
0 1456 1
